fecha,FlujoMaximo,flujoPromedio,NroLecturas,NroEquipos
16/12/2016,727,159
17/12/2016,610,180
18/12/2016,3428,261
19/12/2016,2990,221
20/12/2016,858,73
21/12/2016,332,186
22/12/2016,715,140
23/12/2016,259,114
24/12/2016,742,156
25/12/2016,2059,342
26/12/2016,2544,421
27/12/2016,1315,410
28/12/2016,1861,247
29/12/2016,2195,847
30/12/2016,2704,1253
31/12/2016,997,109
01/01/2017,1880,683,81,2
02/01/2017,4538,1871,81,2
03/01/2017,315,159,19,2
04/01/2017,1185,244,54,2
05/01/2017,2251,1017,38,2
06/01/2017,2049,443,24,2
07/01/2017,1661,704,66,1
08/01/2017,1395,525,84,2
09/01/2017,552,312,11,2
10/01/2017,1533,551,46,2
11/01/2017,1431,449,63,2
12/01/2017,2096,785,50,2
13/01/2017,538,239,39,2
14/01/2017,686,328,24,2
15/01/2017,1784,613,42,2
16/01/2017,1499,295,34,2
17/01/2017,359,242,15,2
18/01/2017,1167,923,10,2
19/01/2017,273,177,36,1
20/01/2017,0,0,0
21/01/2017,426,249,14,1
22/01/2017,514,46,2
23/01/2017,1874,646,77,2
24/01/2017,2858,1081,78,2
25/01/2017,771,206,60,1
26/01/2017,1108,246,75,1
27/01/2017,294,182,15,1
28/01/2017,215,153,5,1
29/01/2017,1657,347,32,1
30/01/2017,1239,369,74,1
31/01/2017,981,218,70,1
01/02/2017,2505
02/02/2017,1886
03/02/2017,2060
04/02/2017,1780
05/02/2017,1706
06/02/2017,2357
07/02/2017,941
08/02/2017,282
09/02/2017,252
10/02/2017,2862
11/02/2017,3828
12/02/2017,2129
13/02/2017,326
14/02/2017,484
15/02/2017,918,384
16/02/2017,1167
17/02/2017,1082
18/02/2017,1036
19/02/2017,2593
20/02/2017,941
21/02/2017,951
22/02/2017,471
23/02/2017,472
24/02/2017,4070
25/02/2017,605
26/02/2017,3525
27/02/2017,1489,426
28/02/2017,5962,1906
01/03/2017,2563,567
02/03/2017,1730
03/03/2017,2023
04/03/2017,1278
05/03/2017,616
06/03/2017,1641
07/03/2017,1151
08/03/2017,1380
09/03/2017,1704
10/03/2017,2217
11/03/2017,343
12/03/2017,343
13/03/2017,642
14/03/2017,378
15/03/2017,1821,348
16/03/2017,1138
17/03/2017,2391
18/03/2017,793
19/03/2017,122
20/03/2017,1923
21/03/2017,3309
22/03/2017,2847
23/03/2017,2367
24/03/2017,2271
25/03/2017,1220
26/03/2017,2607
27/03/2017,2578
28/03/2017,945
29/03/2017,299
30/03/2017,2195
31/03/2017,844
01/04/2017,1000,473
02/04/2017,109
03/04/2017,2102
04/04/2017,862
05/04/2017,2367
06/04/2017,1317
07/04/2017,2802
08/04/2017,1380
09/04/2017,1096
10/04/2017,792
11/04/2017,1096
12/04/2017,1834
13/04/2017,1120
14/04/2017,1315
15/04/2017,488
16/04/2017,4051
17/04/2017,603
18/04/2017,805
19/04/2017,636
20/04/2017,99
21/04/2017,1220
22/04/2017,1398
23/04/2017,1338
24/04/2017,1574
25/04/2017,594
26/04/2017,1164
27/04/2017,992
28/04/2017,556
29/04/2017,668
30/04/2017,601
01/05/2017,1478,677
02/05/2017,1599,488
03/05/2017,467
04/05/2017,1526
05/05/2017,1716
06/05/2017,1195
07/05/2017,329
08/05/2017,1980
09/05/2017,2224
10/05/2017,1910
11/05/2017,992
12/05/2017,627
13/05/2017,590
14/05/2017,746
15/05/2017,1253,478
16/05/2017,504
17/05/2017,213
18/05/2017,2195
19/05/2017,937
20/05/2017,866
21/05/2017,1098
22/05/2017,2427
23/05/2017,2168
24/05/2017,1776
25/05/2017,3904
26/05/2017,1594
27/05/2017,3260
28/05/2017,2668
29/05/2017,1492
30/05/2017,432
31/05/2017,328
01/06/2017,387,205
02/06/2017,1444,503
03/06/2017,1703,583
