fecha,hora,cantidad,otro1,otro2,otro3,otro4
12/11/2016,06:20:00.00,2227225.40175,2.22723,20.89764,81.84040,1414.21360
17/11/2016,03:35:00.00,2419499.87846,2.41950,21.47076,98.79338,2236.06800
21/11/2016,06:15:00.00,1250295.97153,1.25030,7.06676,80.84081,1000.00000
23/11/2016,02:55:00.00,4635920.76695,4.63592,50.66455,83.34696,2236.06800
24/11/2016,03:40:00.00,4287338.49907,4.28734,33.39398,99.44320,2236.06800
24/11/2016,06:45:00.00,7867791.74130,7.86779,57.20280,83.43340,3162.27770
28/11/2016,06:20:00.00,1496741.87824,1.49674,20.92391,81.83286,1000.00000
04/12/2016,05:45:00.00,2117964.48239,2.11796,50.75011,100.20507,1414.21360
07/12/2016,06:15:00.00,1488581.64734,1.48858,7.04572,80.84369,1414.21360
12/12/2016,03:30:00.00,252025.36601,0.25203,7.87558,97.70067,1414.21360
12/12/2016,06:30:00.00,5483974.55359,5.48397,42.76761,82.65945,2236.06800
21/12/2016,03:20:00.00,657780.10010,0.65778,6.70359,80.45033,1414.21360
23/12/2016,03:10:00.00,2277219.75013,2.27722,32.67763,82.36083,2236.06800
23/12/2016,06:15:00.00,2978570.19730,2.97857,6.97672,80.83340,1000.00000
25/12/2016,02:55:00.00,17601947.29467,17.60195,50.65578,83.34819,3605.55130
25/12/2016,06:00:00.00,3632057.98919,3.63206,21.31742,98.90363,1000.00000
28/12/2016,03:30:00.00,483367.23464,0.48337,7.79738,97.68232,1414.21360
04/01/2017,03:35:00.00,2792839.23428,2.79284,21.46387,98.78300,2000.00000
06/01/2017,06:25:00.00,15817006.52869,15.81701,32.80683,82.25917,1414.21360
08/01/2017,03:10:00.00,2115255.55898,2.11526,32.78426,82.36574,2236.06800
08/01/2017,06:15:00.00,1883171.40493,1.88317,6.85705,80.82097,1000.00000
09/01/2017,03:50:00.00,1854302.35753,1.85430,50.86248,100.49050,2000.00000
13/01/2017,03:30:00.00,2632748.68783,2.63275,7.61679,97.65568,1414.21360
15/01/2017,06:20:00.00,13608235.30127,13.60824,20.69679,81.82283,1414.21360
16/01/2017,04:00:00.00,9586099.96925,9.58610,57.11178,100.98124,2828.42710
17/01/2017,03:05:00.00,1542570.81331,1.54257,42.79882,82.88584,2236.06800
17/01/2017,06:10:00.00,2192742.47727,2.19274,7.70804,98.00160,1414.21360
17/01/2017,18:20:00.00,6816387.84762,6.81639,20.30294,81.75823,1414.21360
18/01/2017,03:45:00.00,334505.90008,0.33451,42.94860,99.96849,1000.00000
20/01/2017,03:35:00.00,12968873.91998,12.96887,21.27531,98.77430,2236.06800
22/01/2017,03:20:00.00,1991573.85493,1.99157,7.00929,80.52388,1414.21360
22/01/2017,06:25:00.00,26526795.53443,26.52680,32.83938,82.25751,2236.06800
24/01/2017,03:10:00.00,18205834.37551,18.20583,32.87886,82.37268,2236.06800
24/01/2017,06:15:00.00,6341230.68263,6.34123,6.93877,80.82584,1414.21360
27/01/2017,03:40:00.00,426858.80839,0.42686,33.22879,99.42502,1414.21360
29/01/2017,03:30:00.00,2509640.72877,2.50964,7.62276,97.66116,1414.21360
29/01/2017,06:30:00.00,2964004.86903,2.96400,42.79276,82.65668,1414.21360
31/01/2017,03:15:00.00,42713482.46890,42.71348,20.76705,81.73574,2236.06800
31/01/2017,06:20:00.00,31783399.45599,31.78340,20.83013,81.82709,1414.21360
02/02/2017,03:05:00.00,29145198.88420,29.14520,42.73018,82.88119,3605.55130
02/02/2017,06:10:00.00,30090440.82395,30.09044,7.59622,97.98204,1414.21360
02/02/2017,18:20:00.00,17502772.48061,17.50277,20.20103,81.75411,12206.55560
03/02/2017,03:45:00.00,24896303.11726,24.89630,43.01755,99.96814,2236.06800
04/02/2017,05:55:00.00,24678242.75740,24.67824,33.24380,99.36582,1414.21360
05/02/2017,03:35:00.00,10390415.56743,10.39042,21.40913,98.77709,2000.00000
