fecha,cantidad
01/10/2021,2
02/10/2021,0
03/10/2021,0
04/10/2021,1
05/10/2021,3
06/10/2021,0
07/10/2021,2
08/10/2021,0
09/10/2021,0
10/10/2021,0
11/10/2021,2
12/10/2021,4
13/10/2021,5
14/10/2021,0
15/10/2021,2
16/10/2021,3
17/10/2021,1
18/10/2021,2
19/10/2021,1
20/10/2021,2
21/10/2021,3
22/10/2021,1
23/10/2021,3
24/10/2021,0
25/10/2021,3
26/10/2021,4
27/10/2021,4
28/10/2021,0
29/10/2021,0
30/10/2021,2
31/10/2021,1
01/11/2021,5
02/11/2021,2
03/11/2021,3
04/11/2021,0
05/11/2021,5
06/11/2021,3
07/11/2021,4
08/11/2021,2
09/11/2021,6
10/11/2021,2
11/11/2021,1
12/11/2021,3
13/11/2021,1
14/11/2021,3
15/11/2021,4
16/11/2021,4
17/11/2021,3
18/11/2021,4
19/11/2021,1
20/11/2021,1
21/11/2021,5
22/11/2021,11
23/11/2021,11
24/11/2021,2
25/11/2021,0
26/11/2021,2
27/11/2021,0
28/11/2021,0
29/11/2021,6
30/11/2021,5
01/12/2021,0
02/12/2021,0
03/12/2021,0
04/12/2021,0
05/12/2021,0
06/12/2021,0
07/12/2021,0
08/12/2021,0
09/12/2021,0
10/12/2021,0
11/12/2021,0
12/12/2021,0
13/12/2021,0
14/12/2021,0
15/12/2021,0
16/12/2021,0
17/12/2021,0
18/12/2021,0
19/12/2021,0
20/12/2021,0
21/12/2021,0
22/12/2021,0
23/12/2021,0
24/12/2021,0
25/12/2021,0
26/12/2021,0
27/12/2021,0
28/12/2021,0
29/12/2021,0
30/12/2021,0
31/12/2021,0
12/01/2022,1
18/01/2022,1
19/01/2022,3
20/01/2022,3
27/01/2022,1
07/02/2022,2
08/02/2022,3
09/02/2022,2
10/02/2022,0
11/02/2022,12
12/02/2022,14
13/02/2022,2
15/02/2022,30
16/02/2022,15
17/02/2022,0
22/02/2022,0
23/02/2022,0
02/03/2022,0
03/03/2022,12
04/03/2022,7
05/03/2022,16
06/03/2022,5
11/03/2022,4
12/03/2022,16
13/03/2022,10
14/03/2022,4
15/03/2022,2
16/03/2022,6
17/03/2022,2
18/03/2022,0
19/03/2022,0
20/03/2022,1
21/03/2022,2
23/03/2022,35
26/03/2022,36
27/03/2022,13
29/03/2022,26
31/03/2022,14
01/04/2022,5
02/04/2022,0
03/04/2022,4
04/04/2022,1
05/04/2022,5
